task,id,input,answer,language,text_type,source,metadata
punctuation,pun_0001,史記世家曰孔子名丘字仲尼其先宋人父叔梁紇母顔氏以魯襄公二十二年庚戌之歲十一月庚子生孔子於魯昌平鄕陬邑,史記世家曰：“孔子名丘，字仲尼。其先宋人。父叔梁紇，母顔氏。以魯襄公二十二年，庚戌之歲，十一月庚子，生孔子於魯昌平鄕陬邑。,classical_chinese,original, 論語,"{'chapter': '論語序說', 'korean_translation': '《사기(史記)》의 〈공자세가(孔子世家)〉에 다음과 같이 기록되어 있다. “공자(孔子)는 이름이 구(丘)요, 자(字)가 중니(仲尼)이니, 그 선대(先代)는 송(宋)나라 사람이었다. 아버지는 숙량흘(叔梁紇)이요, 어머니는 안씨(顔氏)이니, 노(魯)나라 양공(襄公) 22년(年)[B.C. 551] 경술년(庚戌年) 11월(月) 경자일(庚子日)[21일(日)]에 공자(孔子)를 노(魯)나라 창평향(昌平鄕) 추읍(陬邑)에서 출생하였다.”', 'original_length': 50, 'punctuated_length': 61}"
punctuation,pun_0002,爲兒嬉戱常陳俎豆設禮容及長爲委吏料量平爲司職吏畜蕃息適周問禮於老子旣反而弟子益進,爲兒嬉戲，常陳俎豆，設禮容。及長，爲委吏，料量平；爲司職吏，畜蕃息。適周，問禮於老子，旣反，而弟子益進。,classical_chinese,original, 論語,"{'chapter': '論語序說', 'korean_translation': '아이가 되어 장난할 때에 항상 조두(俎豆)를 진설(陳設)하며 예(禮)를 행하는 용모(容貌)를 베풀었었다. 장성하여 위리(委吏)[창고관리자]가 되어서는 요량(料量)을 평(平)하게 하시고, 사직리(司職吏)[축산 담당자]가 되어서는 가축이 번식하였다. 주(周)나라에 가서 노자(老子)에게 예(禮)를 물으시고 돌아오자, 제자(弟子)들이 더욱 많이 찾아왔다.', 'original_length': 40, 'punctuated_length': 52}"
punctuation,pun_0003,昭公二十五年甲申孔子年三十五而昭公奔齊魯亂於是適齊爲高昭子家臣以通乎景公公欲封以尼谿之田晏嬰不可公惑之孔子遂行反乎魯,昭公二十五年甲申，孔子年三十五，而昭公奔齊，魯亂。於是適齊，爲高昭子家臣，以通乎景公。公欲封以尼谿之田，晏嬰不可，公惑之。孔子遂行，反乎魯。,classical_chinese,original, 論語,"{'chapter': '論語序說', 'korean_translation': '소공(昭公) 25년(年)[B.C. 517] 갑신(甲申)은 공자(孔子) 나이 35세였는데, 소공(昭公)이 제(齊)나라로 달아나 노(魯)나라가 혼란하니, 공자(孔子)께서는 이에 제(齊)나라로 가시어 고소자(高昭子)의 가신(家臣)이 되어서 경공(景公)에 통(通)하였다. 경공(景公)이 이계(尼谿)의 토지(土地)로 공자(孔子)를 봉해 주고자 하였으나, 안영(晏嬰)이 불가(不可)하다 하니, 경공(景公)이 의혹하였다. 공자(孔子)는 마침내 제(齊)나라를 떠나 노(魯)나라로 돌아오셨다.', 'original_length': 58, 'punctuated_length': 70}"
punctuation,pun_0004,定公元年壬辰孔子年四十三而季氏强僭其臣陽虎作亂專政故孔子不仕而退修詩書禮樂弟子彌衆,定公元年壬辰，孔子年四十三，而季氏强僭，其臣陽虎作亂專政。故孔子不仕，而退修詩、書、禮、樂，弟子彌衆。,classical_chinese,original, 論語,"{'chapter': '論語序說', 'korean_translation': '정공(定公) 원년(元年)[B.C. 509] 임진(壬辰)은 나이 43세였는데, 계씨(季氏)가 강하여 참람하고, 그의 가신(家臣)인 양호(陽虎)가 난(亂)을 일으켜 정권(政權)을 독단하였다. 그러므로 공자(孔子)는 벼슬하지 않고 물러나 시서(詩書)와 예악(禮樂)을 닦으시니, 제자(弟子)들이 더욱 많아졌다.', 'original_length': 41, 'punctuated_length': 51}"
punctuation,pun_0005,九年庚子孔子年五十一公山不狃以費畔季氏召孔子欲往而卒不行,九年庚子，孔子年五十一。公山不狃以費畔季氏，召，孔子欲往，而卒不行。,classical_chinese,original, 論語,"{'chapter': '論語序說', 'korean_translation': '정공(定公) 9년(年) 경자(庚子)는 공자(孔子) 나이 51세였다. 공산불뉴(公山不狃)가 비읍(費邑)을 가지고 계씨(季氏)를 배반하고 공자(孔子)를 부르자, 가시고자 하였으나 끝내는 가지 않으셨다.', 'original_length': 28, 'punctuated_length': 34}"
punctuation,pun_0006,定公以孔子爲中都宰一年四方則之遂爲司空又爲大司寇,定公以孔子爲中都宰，一年，四方則之，遂爲司空，又爲大司寇。,classical_chinese,original, 論語,"{'chapter': '論語序說', 'korean_translation': '정공(定公)이 공자(孔子)를 중도(中都)의 읍재(邑宰)로 삼으니, 1년만에 사방에서 본받았다. 그리하여 마침내 사공(司空)이 되시고, 또 대사구(大司寇)가 되시었다.', 'original_length': 24, 'punctuated_length': 29}"
punctuation,pun_0007,十年辛丑相定公會齊侯于夾谷齊人歸魯侵地,十年辛丑，相定公會齊侯于夾谷，齊人歸魯侵地。,classical_chinese,original, 論語,"{'chapter': '論語序說', 'korean_translation': '10년(年) 신축(辛丑)에 정공(定公)을 도와서 제(齊)나라 군주(君主)[경공(景公)]와 협곡(夾谷)에서 회맹(會盟)하시니, 제(齊)나라 사람들은 노(魯)나라에게서 침략한 땅을 반환해 주었다.', 'original_length': 19, 'punctuated_length': 22}"
punctuation,pun_0008,十二年癸卯使仲由爲季氏宰墮三都收其甲兵孟氏不肯墮成圍之不克,十二年癸卯，使仲由爲季氏宰，墮三都，收其甲兵。孟氏不肯墮成，圍之不克。,classical_chinese,original, 論語,"{'chapter': '論語序說', 'korean_translation': '12년(年) 계묘(癸卯)에 중유(仲由)로 하여금 계씨(季氏)의 가신(家臣)을 삼아 세 도읍(都邑)의 성(城)을 허물게 하고 갑옷과 병기를 거두게 하였는데, 맹씨(孟氏)의 집안에서는 성(成)땅의 성(城)을 허물려고 하지 않으므로, 포위공격하였으나 이기지 못하였다.', 'original_length': 29, 'punctuated_length': 35}"
punctuation,pun_0009,十四年乙巳孔子年五十六攝行相事誅少正卯與聞國政三月魯國大治齊人歸女樂以沮之季桓子受之郊又不致膰俎於大夫孔子行,十四年乙巳，孔子年五十六，攝行相事，誅少正卯，與聞國政。三月，魯國大治。齊人歸女樂以沮之，季桓子受之。郊又不致膰俎於大夫，孔子行。,classical_chinese,original, 論語,"{'chapter': '論語序說', 'korean_translation': '정공(定公) 14년(年) 을사(乙巳)는 공자(孔子) 나이 56세였다. 정승의 일을 섭행(攝行)하여 소정묘(少正卯)를 베시고, 국정(國政)에 참여하여 들으시니, 3개월만에 노(魯)나라가 크게 다스려졌다. 제(齊)나라 사람들이 아름다운 여자 악사(樂師)를 보내어 저지하니, 계환자(季桓子)가 이것을 받았으며, 교제(郊祭)에 또 제사지낸 고기를 대부(大夫)들에게 주지 않자, 공자(孔子)는 노(魯)나라를 떠나셨다.', 'original_length': 54, 'punctuated_length': 65}"
punctuation,pun_0010,適衛主於子路妻兄顔濁鄒家,適衛，主於子路妻兄顔濁鄒家。,classical_chinese,original, 論語,"{'chapter': '論語序說', 'korean_translation': '위(衛)나라에 가서 자로(子路)의 처형(妻兄)인 안탁추(顔濁鄒)의 집에 주인(主人)을 정하시었다.', 'original_length': 12, 'punctuated_length': 14}"
